,Date,DAY,MFI Daily Distribution,"Marketing, Bounty, Treasury",Team Token,Total Circulation
55,2021-04-28,56,3785.8364100000003,0,0,5417949.425987
56,2021-04-29,57,3782.0505740000003,0,0,5421731.476561
57,2021-04-30,58,3778.2685229999997,0,0,5425509.745084
58,2021-05-01,59,3774.4902549999997,0,0,5429284.235339
59,2021-05-02,60,3770.715765,0,0,5433054.951104
60,2021-05-03,61,3766.9450490000004,0,0,5436821.896153
61,2021-05-04,62,3763.178104,0,187500,5628085.074257
62,2021-05-05,63,3759.414926,0,0,5631844.489183
63,2021-05-06,64,3755.655511,0,0,5635600.1446940005
64,2021-05-07,65,3751.8998549999997,0,0,5639352.044549
65,2021-05-08,66,3748.147955,0,0,5643100.192504001
66,2021-05-09,67,3744.3998070000002,0,0,5646844.592311
67,2021-05-10,68,3740.6554079999996,0,0,5650585.247719
68,2021-05-11,69,3736.914752,0,0,5654322.162471
69,2021-05-12,70,3733.177838,0,0,5658055.340309
70,2021-05-13,71,3729.44466,0,0,5661784.784968999
71,2021-05-14,72,3725.7152149999997,0,0,5665510.500184
72,2021-05-15,73,3721.9895,0,0,5669232.489684
73,2021-05-16,74,3718.26751,0,0,5672950.757193999
74,2021-05-17,75,3714.549243,0,0,5676665.306437
75,2021-05-18,76,3710.8346939999997,0,0,5680376.141131
76,2021-05-19,77,3707.1238590000003,0,0,5684083.26499
77,2021-05-20,78,3703.4167350000002,0,0,5687786.681725
78,2021-05-21,79,3699.713318,0,0,5691486.395043
79,2021-05-22,80,3696.0136049999996,0,0,5695182.408648
80,2021-05-23,81,3692.3175909999995,0,0,5698874.726239
81,2021-05-24,82,3688.625274,0,0,5702563.351513
82,2021-05-25,83,3684.936648,0,0,5706248.288161
83,2021-05-26,84,3681.2517119999998,0,0,5709929.539873
84,2021-05-27,85,3677.5704600000004,0,0,5713607.110333
85,2021-05-28,86,3673.8928899999996,0,0,5717281.003223
86,2021-05-29,87,3670.218997,0,0,5720951.22222
87,2021-05-30,88,3666.5487780000003,0,0,5724617.770998
88,2021-05-31,89,3662.882229,0,0,5728280.6532270005
89,2021-06-01,90,3659.2193469999997,0,0,5731939.872574001
90,2021-06-02,91,3655.560127,0,0,5735595.432701001
91,2021-06-03,92,3651.904567,100000,0,5839247.337268001
92,2021-06-04,93,3648.252663,0,0,5842895.589931001
93,2021-06-05,94,3644.6044100000004,0,0,5846540.194341001
94,2021-06-06,95,3640.9598060000003,0,0,5850181.154147001
95,2021-06-07,96,3637.318846,0,0,5853818.472993001
96,2021-06-08,97,3633.681527,0,0,5857452.154520001
97,2021-06-09,98,3630.0478450000005,0,0,5861082.202365002
98,2021-06-10,99,3626.4177979999995,0,0,5864708.620163002
99,2021-06-11,100,3622.7913799999997,0,0,5868331.411543002
100,2021-06-12,101,3619.1685880000005,0,0,5871950.580131003
101,2021-06-13,102,3615.5494200000003,0,0,5875566.129551003
102,2021-06-14,103,3611.9338700000003,0,0,5879178.063421003
103,2021-06-15,104,3608.3219369999997,0,0,5882786.385358003
